Country,Distance Traveled
Mexico,966
Canada,"3,712"
Haiti,"4,090"
Panama,"4,393"
Curaçao,"6,064"
Colombia,"6,081"
Norway,"6,199"
France,"6,381"
Senegal,"6,692"
United States,"6,810"
Scotland,"6,882"
Morocco,"7,590"
Ecuador,"7,874"
Brazil,"8,607"
Cape Verde,"8,921"
Ivory Coast,"9,111"
Portugal,"9,250"
Spain,"9,317"
Netherlands,"9,342"
Uruguay,"9,665"
Paraguay,"9,694"
Argentina,"9,731"
Ghana,"9,806"
Sweden,"10,048"
Iraq,"10,322"
England,"10,430"
Germany,"11,218"
Belgium,"11,246"
Egypt,"11,378"
Croatia,"11,496"
Tunisia,"11,541"
Switzerland,"11,626"
Turkey,"11,647"
Japan,"12,073"
South Korea,"12,308"
Bosnia and Herzegovina,"12,395"
New Zealand,"12,547"
Austria,"12,696"
Algeria,"12,895"
Iran,"13,751"
Australia,"14,077"
Saudi Arabia,"14,089"
Jordan,"14,285"
Qatar,"14,531"
Czech Republic,"14,616"
Uzbekistan,"15,520"
DR Congo,"15,904"
South Africa,"18,540"
