name,player_positions,overall,potential,age,height,country
J. Bellingham,"CAM, CM",90,94,22,186,England
F. Valverde,"CM, CDM, RB",89,90,26,182,Uruguay
J. Kimmich,"CDM, RB, CM",89,89,30,177,Germany
A. Hakimi,"RB, RM",89,90,26,181,Morocco
N. Barella,CM,87,87,28,175,Italy
H. Çalhanoğlu,"CDM, CM",86,86,31,178,Turkiye
F. Dimarco,"LB, LM",85,85,27,175,Italy
A. Mac Allister,"CM, CDM",87,88,26,176,Argentina
Rodri,"CDM, CM",90,90,29,190,Spain
A. Griezmann,"ST, LM, CAM",85,85,34,176,France
T. Hernández,"LB, LM",84,85,27,184,France
Bruno Fernandes,"CAM, CM",87,87,30,179,Portugal
J. Alvarez,ST,87,90,25,170,Argentina
T. Alexander-Arnold,"RB, RM",86,87,26,180,England
Sancet,"CAM, CM, ST",84,88,25,188,Spain
A. Rabiot,"CAM, CM",83,83,30,191,France
R. De Paul,"CM, CDM, CAM",84,84,31,180,Argentina
S. Tonali,"CDM, CM",86,88,25,181,Italy
Marcos Llorente,"RB, CM, RM",84,84,30,184,Spain
L. Goretzka,"CM, CDM, CAM",82,82,30,189,Germany
Vitinha,"CM, CDM, CAM",89,91,25,172,Portugal
M. Salah,"RM, RW",91,91,33,175,Egypt
M. Sabitzer,"CDM, CM",80,80,31,178,Austria
D. Rice,"CDM, CM",87,88,26,185,England
João Cancelo,"RB, LB, RM",84,84,31,182,Portugal
F. de Jong,"CM, CDM",87,87,28,181,Netherlands
T. Reijnders,"CM, CDM, CAM",86,87,26,185,Netherlands
D. Szoboszlai,"CAM, CM",83,86,24,186,Hungary
Raphinha,"LM, LW",89,89,28,176,Brazil
B. Saka,"RW, RM",88,90,23,178,England
S. Milinković-Savić,"CM, CDM, CAM",84,84,30,192,Serbia
Pedri,"CM, CDM, CAM",89,93,22,174,Spain
Bruno Guimarães,"CM, CDM",86,87,27,182,Brazil
O. Dembélé,"ST, RW, CAM",90,90,28,178,France
João Neves,"CM, CDM",85,90,20,174,Portugal
R. Gravenberch,"CDM, CM",85,88,23,190,Netherlands
L. Martínez,ST,88,88,27,174,Argentina
H. Mkhitaryan,CM,83,83,36,177,Armenia
K. De Bruyne,"CM, CAM",87,87,34,181,Belgium
T. Koopmeiners,"CAM, CM",81,81,27,183,Netherlands
K. Kvaratskhelia,"LW, RW, LM",87,90,24,183,Georgia
Grimaldo,"LM, LB, LW",84,84,29,171,Spain
R. James,RB,81,84,25,180,England
F. Kostić,"LM, LB, LW",81,81,32,184,Serbia
C. Gallagher,"CM, CAM, LM",81,85,25,182,England
Mikel Merino,"CM, ST",83,83,29,189,Spain
E. Fernández,"CM, CDM, CAM",84,87,24,178,Argentina
Fred,"CM, CDM, CAM",80,80,32,169,Brazil
D. Alaba,"CB, LB, LM",82,82,33,180,Austria
I. Bennacer,"CDM, CM",80,82,27,175,Algeria
B. Yılmaz,"LM, RM, LW",80,83,25,186,Turkiye
Pedro Porro,"RB, RM",82,85,25,173,Spain
K. Mbappé,"ST, LW, LM",91,94,26,182,France
M. Ødegaard,"CM, CAM",87,89,26,178,Norway
Otávio,"CAM, CM, RM",82,82,30,171,Portugal
O. Kökçü,"CM, CAM, CDM",82,86,24,175,Turkiye
M. Acuña,"LB, LM",78,78,33,172,Argentina
S. McTominay,"CM, CAM, LM",85,85,28,193,Scotland
H. Kane,ST,89,89,31,188,England
E. Camavinga,"CM, CDM, LB",83,90,22,185,France
Rúben Neves,"CDM, CM",84,85,28,180,Portugal
F. Nmecha,"CDM, CM",82,86,24,194,Germany
Carlos Augusto,"LB, CB, LM",81,82,26,184,Brazil
J. McGinn,"LM, RM, CAM, LB",81,81,30,178,Scotland
Berenguer,"LM, RM, CAM, LW",82,82,29,175,Spain
E. Can,"CB, CDM, CM",82,82,31,186,Germany
L. Pellegrini,"CAM, CM",80,80,29,186,Italy
Pedro Gonçalves,"CAM, LM, CM",83,83,27,173,Portugal
Joelinton,"CM, LW, LM",82,82,28,186,Brazil
Nuno Mendes,"LB, LM",86,89,23,180,Portugal
R. Lewandowski,ST,88,88,36,185,Poland
K. Thuram,"CM, CDM",81,85,24,192,France
I. Perišić,"RW, LW, RM",81,81,36,186,Croatia
B. Mbeumo,"RW, RM, ST",85,86,25,171,Cameroon
Y. Tielemans,"CM, CDM, CAM",85,85,28,176,Belgium
J. Tavernier,"RB, RM",77,77,33,182,England
J. Musiala,"CAM, LM, CM, ST",88,92,22,184,Germany
Marc Cucurella,LB,84,85,26,174,Spain
L. Torreira,"CDM, CM",83,83,29,166,Uruguay
M. Lemina,"CDM, CM",79,79,31,184,Gabon
L. Modrić,"CM, CAM, CDM",83,83,39,172,Croatia
F. Kessié,"CDM, CM, CB",80,81,28,183,Côte d'Ivoire
G. Lo Celso,"CAM, CM, CDM",82,82,29,177,Argentina
F. Aursnes,"CM, RB, RM, CAM",80,80,29,179,Norway
D. Kulusevski,"CM, RW, CAM",83,86,25,186,Sweden
Bernardo Silva,"CM, RM, CDM, CAM",84,84,30,173,Portugal
F. Wirtz,"CAM, ST, CM",89,93,22,177,Germany
W. McKennie,"CM, CDM, CAM",78,79,26,180,United States
R. Loftus-Cheek,"CM, CAM",80,80,29,191,England
Sergi Darder,"LM, CM, CDM, LW",81,81,31,180,Spain
C. Tolisso,"CM, CDM, CAM",81,81,30,181,France
M. Brozović,"CDM, CM",81,81,32,181,Croatia
M. De Cuyper,"LB, RB, LM",80,86,24,183,Belgium
Q. Timber,"CM, CDM, CAM",80,85,24,179,Netherlands
C. McGregor,"CDM, CM",79,79,32,178,Scotland
Douglas Luiz,"CM, CDM",80,80,27,175,Brazil
Ayoze,"ST, CAM",83,83,31,178,Spain
A. Davies,"LB, LM",84,87,24,185,Canada
D. Frattesi,CM,81,83,25,178,Italy
Nuno Santos,"LM, LB, LW",79,79,30,177,Portugal
M. Guendouzi,"CDM, CM",82,85,26,185,France
M. Caicedo,"CDM, CM",87,89,23,178,Ecuador
J. Gvardiol,"LB, CB, LM",84,87,23,185,Croatia
A. Zambo Anguissa,"CM, CAM",82,82,29,184,Cameroon
K. Trippier,"RB, RM",80,80,34,173,England
Lucas Paquetá,"CM, LM, CAM",80,80,27,180,Brazil
Gabriel Sara,"CM, CAM, RM",80,83,26,177,Brazil
M. Hjulmand,"CDM, CM",83,86,26,185,Denmark
M. Arambarri,"CM, CDM",80,80,29,175,Uruguay
D. Maeda,"LW, ST, RW, LM",79,79,27,173,Japan
E. Haaland,ST,90,92,24,195,Norway
B. Pavard,CB,84,84,29,186,France
E. Anderson,"CDM, CM",80,85,22,179,England
G. Wijnaldum,"CAM, ST, CM",78,78,34,175,Netherlands
Marcos Alonso,"CB, LB",79,79,34,188,Spain
Aleix García,"CM, CDM",83,83,28,173,Spain
Álex Baena,"LM, ST, LW",84,89,23,174,Spain
M. Tillman,"CAM, LW, CM",82,87,23,187,United States
E. Palacios,"CM, CDM",84,86,26,178,Argentina
R. Zalazar,"CAM, CM, LM",79,82,25,178,Uruguay
Carvajal,"RB, RM",85,85,33,173,Spain
Koke,"CM, CDM",81,81,33,176,Spain
L. Ferguson,"CM, CDM, CAM",78,81,25,181,Scotland
R. Ríos,"CM, CDM",79,83,25,187,Colombia
G. Di Lorenzo,"RB, CB, RM",83,83,31,183,Italy
C. Palmer,"CAM, RM, ST",87,90,23,185,England
Y. Herrera,"CM, CDM, CAM",81,82,27,184,Venezuela
Miguel Gutiérrez,"LB, LM",81,85,23,180,Spain
Angeliño,"LB, LM",79,79,28,171,Spain
Éderson,CM,82,85,25,182,Brazil
M. Arnold,"CDM, CM",79,79,31,184,Germany
M. Gibbs-White,"CAM, ST",82,84,25,179,England
M. Locatelli,"CDM, CM",84,85,27,185,Italy
D. Dumfries,"RB, RM",84,84,29,188,Netherlands
L. Digne,"LB, LM",80,80,31,178,France
R. Andrich,"CDM, CM, CB",81,81,30,186,Germany
A. Tchouaméni,"CDM, CM, CB",84,87,25,187,France
S. Guirassy,ST,87,87,29,187,Guinea
L. Provod,"CAM, CM, LM",78,78,28,191,Czechia
M. Zaccagni,"LM, LW",84,84,30,177,Italy
M. de Roon,"CM, CDM",81,81,34,186,Netherlands
R. Skov,"LB, RB, RM, LM",74,74,29,185,Denmark
Brais Méndez,"CM, RM, CAM",81,81,28,187,Spain
R. Gosens,"LB, LM",80,80,30,183,Germany
Fabián Ruiz,"CM, CDM",85,85,29,189,Spain
G. Hamer,"LM, CM, LW",77,77,28,169,Netherlands
J. Maddison,"CM, CAM",84,84,28,175,England
P. Groß,"CDM, CM",80,80,34,181,Germany
Yuri Berchiche,"LB, LM",79,79,35,181,Spain
R. Guerreiro,"LB, CM, RB, LM",80,80,31,170,Portugal
K. Laimer,"RB, CDM, CM, RM",82,82,28,180,Austria
Jordi Alba,LB,78,78,36,170,Spain
D. Olaru,"CM, CAM",73,73,27,177,Romania
M. Rogers,"CAM, RM, LM, CM",82,86,22,188,England
Y. Carrasco,"LW, LM",81,81,31,181,Belgium
D. Doué,"RW, LW, CM, RM",85,91,20,181,France
M. Thuram,ST,85,85,27,192,France
D. Raum,"LB, LM",82,83,27,181,Germany
V. Gyökeres,ST,87,88,27,189,Sweden
