Country,Market Value
France,1520000000
England,1360000000
Spain,1220000000
Portugal,1010000000
Germany,947000000
Brazil,928200000
Argentina,782500000
Netherlands,754200000
Norway,589900000
Belgium,547500000
Ivory Coast,522100000
Morocco,498300000
Senegal,478100000
Turkiye,473700000
Sweden,406080000
Croatia,387300000
United States,385650000
Ecuador,368700000
Denmark,365000000
Uruguay,359300000
Switzerland,332500000
Italy,315700000
Colombia,302350000
Greece,275600000
Japan,270850000
Georgia,260000000
Algeria,256900000
Ukraine,247000000
Russia,242700000
Austria,242200000
Ghana,234600000
Poland,231600000
Hungary,209200000
Serbia,206000000
Cameroon,198700000
Canada,198650000
Mexico,191850000
Czechia,188180000
Wales,180650000
Nigeria,171850000
Scotland,170250000
Paraguay,153650000
Bosnia-Herzegovina,151600000
Kosovo,147480000
Republic of Ireland,146850000
Democratic Republic of the Congo,143900000
South Korea,139050000
Mali,116550000
Egypt,116480000
Burkina Faso,110550000
Slovenia,100500000
Iceland,89100000
Albania,88800000
Uzbekistan,85330000
Northern Ireland,79900000
Venezuela,79000000
The Gambia,78780000
Australia,77450000
Guinea,74130000
Tunisia,69950000
Montenegro,68550000
Chile,66800000
Israel,62900000
Slovakia,59850000
Romania,56150000
Haiti,55900000
Cape Verde,54500000
South Africa,49250000
Angola,47350000
Armenia,42430000
Finland,41850000
Saudi Arabia,40680000
Guinea-Bissau,39450000
Suriname,35930000
Gabon,34980000
Panama,34550000
New Zealand,34350000
North Macedonia,33900000
Iran,32050000
Bulgaria,30150000
Peru,30030000
United Arab Emirates,29050000
Costa Rica,28200000
Togo,27800000
Curaçao,25780000
Mauritania,25350000
Zimbabwe,25330000
Iraq,21200000
Honduras,20930000
Jordan,20300000
Qatar,19930000
Indonesia,19550000
Cyprus,19200000
Azerbaijan,19080000
Benin,18080000
Bolivia,18050000
Kazakhstan,16300000
Belarus,15380000
Malta,14950000
Lithuania,14730000
Luxembourg,14500000
China,14330000
Liberia,14330000
Zambia,14130000
Estonia,13930000
Guadeloupe,13700000
Sierra Leone,13330000
Dominican Republic,12830000
Niger,11000000
Burundi,10930000
Palestine,10280000
Libya,10130000
Moldova,9700000
Jamaica,9050000
Tanzania,9030000
Uganda,8750000
Chad,8550000
Oman,8330000
Latvia,8230000
Central African Republic,8200000
Syria,7930000
Guatemala,7780000
Tajikistan,7780000
Malaysia,7600000
Bangladesh,7250000
El Salvador,7130000
Kyrgyzstan,7050000
Rwanda,7000000
North Korea,6850000
Madagascar,6830000
Thailand,6550000
Vietnam,6380000
Bahrain,6150000
Lebanon,5550000
New Caledonia,5200000
Faroe Islands,5100000
Singapore,4380000
Eritrea,4350000
Kuwait,4230000
Equatorial Guinea,4200000
India,4000000
Comoros,3800000
Nicaragua,3780000
Andorra,3710000
Martinique,3680000
Pakistan,3540000
Hong Kong,3450000
Kenya,3300000
Sudan,3280000
Philippines,3230000
Botswana,3100000
Myanmar,3000000
Turkmenistan,2950000
Ethiopia,2900000
Republic of the Congo,2630000
Cuba,2600000
Cambodia,2580000
Fiji,2450000
Yemen,2200000
Trinidad and Tobago,2150000
Namibia,2080000
Malawi,1950000
Chinese Taipei,1920000
Gibraltar,1840000
Grenada,1750000
South Sudan,1600000
Guyana,1500000
Mozambique,1480000
São Tomé and Príncipe,1430000
Nepal,1350000
Laos,1320000
San Marino,1150000
Afghanistan,1080000
Eswatini,1080000
Seychelles,1030000
Sri Lanka,910000
Bhutan,840000
Puerto Rico,825000
Brunei Darussalam,800000
Mauritius,800000
Timor-Leste,785000
Somalia,760000
Maldives,675000
Antigua and Barbuda,650000
Liechtenstein,625000
Lesotho,575000
Djibouti,575000
Saint Kitts and Nevis,575000
Vanuatu,535000
Mongolia,485000
Saint Vincent and the Grenadines,475000
Solomon Islands,450000
Sint Maarten,425000
Bonaire,400000
Bermuda,375000
Montserrat,375000
Belize,350000
Macau,335000
Saint Lucia,250000
Guam,240000
Samoa,225000
Barbados,200000
Aruba,175000
United States Virgin Islands,125000
French Guiana,125000
Cook Islands,110000
Tahiti,60000
Turks and Caicos Islands,50000
Tonga,10000
