Country,Player Name,Position
Algeria,MASTIL Melvin,GK
Algeria,MANDI Aissa,DF
Algeria,ABADA Achref,DF
Algeria,TOUGAI Mohamed Amine,DF
Algeria,BELAID Zineddine,DF
Algeria,ZERROUKI Ramiz,MF
Algeria,MAHREZ Riyad,FW
Algeria,AOUAR Houssem,MF
Algeria,GOUIRI Amine,FW
Algeria,CHAIBI Fares,MF
Algeria,HADJ MOUSSA Anis,FW
Algeria,BENBOUALI Nadhir,FW
Algeria,HADJAM Jaouen,DF
Algeria,BOUDAOUI Hicham,MF
Algeria,AIT-NOURI Rayan,DF
Algeria,BENBOT Oussama,GK
Algeria,BELGHALI Rak,DF
Algeria,AMOURA Mohamed,FW
Algeria,BENTALEB Nabil,MF
Algeria,BOULBINA Adil,FW
Algeria,BENSEBAINI Ramy,DF
Algeria,MAZA Ibrahim,MF
Algeria,ZIDANE Luca,GK
Algeria,TITRAOUI Yassine,MF
Algeria,GHEDJEMIS Fares,FW
Algeria,CHERGUI Samir,DF
Argentina,MUSSO Juan,GK
Argentina,BALERDI Leonardo,DF
Argentina,TAGLIAFICO Nicolas,DF
Argentina,MONTIEL Gonzalo,DF
Argentina,PAREDES Leandro,MF
Argentina,MARTINEZ Lisandro,DF
Argentina,DE PAUL Rodrigo,MF
Argentina,BARCO Valentin,MF
Argentina,ALVAREZ Julian,FW
Argentina,MESSI Lionel,FW
Argentina,LO CELSO Giovani,MF
Argentina,RULLI Geronimo,GK
Argentina,ROMERO Cristian,DF
Argentina,PALACIOS Exequiel,MF
Argentina,GONZALEZ Nico,MF
Argentina,ALMADA Thiago,FW
Argentina,SIMEONE Giuliano,FW
Argentina,PAZ Nico,FW
Argentina,OTAMENDI Nicolas,DF
Argentina,MAC ALLISTER Alexis,MF
Argentina,LOPEZ Jose Manuel,FW
Argentina,MARTINEZ Lautaro,FW
Argentina,MARTINEZ Emiliano,GK
Argentina,FERNANDEZ Enzo,MF
Argentina,MEDINA Facundo,DF
Argentina,MOLINA Nahuel,DF
Australia,RYAN Mathew,GK
Australia,DEGENEK Milos,DF
Australia,CIRCATI Alessandro,DF
Australia,ITALIANO Jacob,DF
Australia,BOS Jordan,DF
Australia,GERIA Jason,DF
Australia,LECKIE Mathew,FW
Australia,METCALFE Connor,MF
Australia,TOURE Mohamed,FW
Australia,HRUSTIC Ajdin,FW
Australia,MABIL Awer,FW
Australia,IZZO Paul,GK
Australia,ONEILL Aiden,MF
Australia,DEVLIN Cameron,MF
Australia,TREWIN Kai,DF
Australia,BEHICH Aziz,DF
Australia,IRANKUNDA Nestory,FW
Australia,BEACH Patrick,GK
Australia,SOUTTAR Harry,DF
Australia,VOLPATO Cristian,FW
Australia,BURGESS Cameron,DF
Australia,IRVINE Jackson,MF
Australia,VELUPILLAY Nishan,FW
Australia,OKON-ENGSTLER Paul,MF
Australia,HERRINGTON Lucas,DF
Australia,YENGI Tete,FW
Austria,SCHLAGER Alexander,GK
Austria,AFFENGRUBER David,DF
Austria,DANSO Kevin,DF
Austria,SCHLAGER Xaver,MF
Austria,POSCH Stefan,DF
Austria,SEIWALD Nicolas,MF
Austria,ARNAUTOVIC Marko,FW
Austria,ALABA David,DF
Austria,SABITZER Marcel,MF
Austria,GRILLITSCH Florian,MF
Austria,GREGORITSCH Michael,FW
Austria,WIEGELE Florian,GK
Austria,PENTZ Patrick,GK
Austria,KALAJDZIC Sasa,FW
Austria,LIENHART Philipp,DF
Austria,MWENE Phillip,DF
Austria,CHUKWUEMEKA Carney,MF
Austria,SCHMID Romano,MF
Austria,BAUMGARTNER Christoph,MF
Austria,LAIMER Konrad,MF
Austria,WIMMER Patrick,FW
Austria,PRASS Alexander,MF
Austria,FRIEDL Marco,DF
Austria,WANNER Paul,MF
Austria,SVOBODA Michael,DF
Austria,SCHOEPF Alessandro,MF
Belgium,COURTOIS Thibaut,GK
Belgium,DEBAST Zeno,DF
Belgium,THEATE Arthur,DF
Belgium,MECHELE Brandon,DF
Belgium,DE CUYPER Maxim,DF
Belgium,WITSEL Axel,MF
Belgium,DE BRUYNE Kevin,MF
Belgium,TIELEMANS Youri,MF
Belgium,LUKAKU Romelu,FW
Belgium,TROSSARD Leandro,FW
Belgium,DOKU Jeremy,FW
Belgium,LAMMENS Senne,GK
Belgium,PENDERS Mike,GK
Belgium,LUKEBAKIO Dodi,FW
